bn,rm
হা … কিন্তু আইপি তো চেঞ্জ করা যায় না,Ha … Kintu ip to change kora jay na
হা … ফোন এর ভার্সন এর চিপসেট এর ওপর কাইনমাস্টার ,Ha … phn er version ar chipset er opor kinemaster
হা ভাই তোমার বাড়ি কোথায়,Ha bhai tomar bari kothay
হা চলবে,ha cholbe
হা হা হা,ha ha ha
হা হা হা এটা কি দেখাইলেন,ha ha ha ata ki dekaylen
হা হা খুব ভালো পুষ্টি দিছেন……..,Ha ha khub valo pusty dichen……..
হা হা লোল,ha ha lol
হা কিং নাই?,Ha king nai?
হা করবো ব্রো ,Ha Korbo Bro
হা লাগে,ha lage
"হা ঐটা আনইনস্টল করেপেলেছি, তার পর ও হচ্ছেনা। ","Ha oita uninstall korepeleci, tar por o hoccena."
হা পাবেন তারাও পাবে,Ha paben taraw pabe
হা পারবেন,Ha parban
হা শিউর,ha sure
হা ট্রাই ,ha Try
হা ইউজ কইরেন না…,Ha Use Koiren na…
হা ভাই ফুল ভার্সন,Ha vai full version
হা ভাই করবে যদি ক্যামেরা ২ এপিআই এনাবেল থাকে,ha vai korbe jodi camera 2 api enable thake
হা ভাই নিউ আপডেট আসছে,Ha vai new Update asse
হা ভাই অন্য দেশেও সাইবার৭১ সার্ভার ডাউন করছে তাইনা? ,Ha vai onno deshew cyber71 server down korse taina?
হা ভাই। এর জন্য ওল্ড ভার্সন এর মোড ইউজ করতে পারেন !!,ha vai. er jonno old version er mod use korte paen !!
হ্যাঁ ভাইয়া ফোন অবশ্যই ,Ha vaiya phone obossoi
"হা ভাই,আমি ওই জায়গায় স্ক্রিনশট নিতে ভুলে গেছিলাম","Ha vhi,ami oi jaigai screenshot nite vhule gesilam"
হা। পিসি দিয়া করতে পারেন,Ha. Pc dia korte paren
হা.. ফ্লোটিং উইন্ডো তে ক্লিক করে অফ করে দিলেই হবে..,Ha.. Floating Window Te Click Kore Off Kore dilei Hobe..
হা। মাই জিপি অ্যাপস এ যান। ওই খানে সেইম ভাবেই শো করছে,Haaaa. My gp apps Jan. Oi kanay same vabay show korsay
হ্যাক হয়?,hack hoy?
হ্যাক করার জন্য এত নাম্বার কই পাবো,hack korar jonno ato number koi pabo
হ্যাক করে ক্রেডিট নিলে পয়েন্ট আউট হয়ে যায়,Hack kore credit nile point out hoye jay
হ্যাক করেছিলাম ৬ মাস আগে,Hack koresilam 6 mas age
"হ্যাকিং অ্যাপ দেন ভাই, যাতে অন্যের ফোনের সব কিছু দেখা যায়। ","Hacking app den vai, jate onner phoner sob kichu dekha jay."
হ্যা,Hae
হ্যা ভাই….,Hae vai….
হ্যা ভাইয়া খুব দরকার এন্ড্রয়েড এর!,Hae vaia khb dorkar Android er! 
হাহা এটা এক ক্লিক এ হলো,haha eta ek click a holo
হাহা এতো ললিপপ এ ও আছে। এই তো কিছু এই জানে না,Haha eto lolipop e o ase. Ei to kiso ei jane na
হাহা,haha 
হাহা,Haha 
হাহা কি দিনকাল আসলো। ,Haha  ki dinkal aslo.
হাহা । গাঁজা খাইলে এই এমন টাইটেল মাথায় আসে ,Haha . Gaja khaile ei emon title matahy ase
হাহা!,Haha!
"হাহা,সেইম সিস্টেম আরো ইজি তে ইএস ফাইল এক্সপ্লোরার দিয়ে করা যায়","haha,same system aro easy te es file explorar diye kora jay"
"হাহা.. উইন্ডোজ টু এন্ড্রোইড, রাইট?","Haha.. Windows to Android, Right?"
হাহা..এগুলা কিভাবে অথর হয়.?,haha..egula kivabe author hoy.?
হাহা,haha…
হাহাহ,hahah 
হাহাহা,hahaha
হাহাহা ১.৮ হচ্ছে আমার পোস্ট এর সিরিয়াল নম্বর,hahaha 1.8 hosse amr post ar serial number
হাহাহা আমিও,Hahaha amio
হাহাহা কার থেকে কপি করেছি ভাই?,Hahaha kar theke copy koresi vai?
হাহাহা…….. পেপাল দিয়ে ফ্রি তেই খোলা যায় কোনো টাকা লাগে না,hahaha…….. paypal diye free tei khola jay kono taka lage na
হাহাহাহা,hahahaha
হাহাহাহা ১৯৭১ সালের অ্যাপ,hahahaha 1971 saler app
হাহাহাহাহা,Hahahahaha
হাজার হাজার ফোন মেমোরি  ,Hajar hajar phone memory 
হেইক সিস্টেম দেন ,hake system den
হেইক সিস্টেম টা বলেন প্লিজ,hake system ta bolen plz
হালাক প্রব্লেম তো ফেস করতে ভাই এড্স এর চাইতে তো ভালো ,halak problem to face korte vai ads er chaite to vlo
হাফ পোস্ট টোটাল পোস্ট এগেইন প্লিজ,Half post total post Again please
হালকা তো থাকবেই মোবাইল দিয়ে ফুল ক্লিয়ার হয় না…,halka to thakbei mobile diye full clear hoy na…
হার্ড রিসেট/ফ্লাস দিলে কি কাজ করবে?,Hard reset/Flas dile ki kaj korbe?
হার্ডওয়্যার পারমিশন কাইনমাস্টার এর জন্য সেটিংস থেকে এনেবেল করে দিবেন,Hardware permission kinemaster er jonno settings theke enable kore diben
হারিয়ে যাওয়া ফোন এ যদি ডাটা দেওয়া না থাকে তাইলে লোকেশন শো করবে না,hariye jawa phn e jodi data dewa na thake taile location show korbeba na
হাসার কি হলো ,Hasar ki holo
হাসি পায় এগুলা দেখলে ,Hasi pay egula dekhle
হাসিবুল ইসলাম ফাহাদের ফ্যান তুমি?হনুমান স্কোয়াড!!,Hasibul Islam Fahader Fan Tumi?Honuman Squad!!
হায় হায় কনকি সত্যি,Hay hay konki sotti
হায়রে পোস্ট!,Hayre post!
হায়রে রিভিউ,Hayre rivew
হবে,hbe
হবে না ভাই আমার ফোন?,Hbe na vai Amr phone?
হবে.. ইনবক্স করেন এফবি তে,hbe.. inbox koren fb ta
হবো ম্যাক্স ভিপিএন এ চলে না ,Hbo max vpn e cole na
এইচডি করতে পারবেন,HD korta parban
এইচডি ফটো ডাউনলোড হবে নাকি লো কোয়ালিটি ডাউনলোড হবে..,Hd photo download hbe naki low quality download hbe..
